kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
206,676,16.509977341,-1.552129149,-9.304488182,-0.287428707,-0.493804604,-0.711377144,0.409314483,
207,681,16.677921295,-9.124210358,1.183689952,-0.166562483,-0.524318993,-0.832521975,0.065639056,
208,684,15.355420113,-10.572627068,3.176776409,-0.138275728,-0.520476460,-0.842515647,-0.014386072,
209,686,15.421601295,-10.278130531,2.950454235,-0.154539049,-0.540592670,-0.826896191,-0.013246347,
210,689,15.672380447,-9.846340179,2.067995071,-0.178499386,-0.553002834,-0.813861966,0.003220074,
211,691,15.354214668,-9.947686195,2.701571941,-0.164500982,-0.552874148,-0.816708744,-0.017673772,
212,694,14.164192200,-10.572612762,4.031725883,-0.139315262,-0.546242714,-0.822153986,-0.079555005,
213,696,14.577705383,-9.948161125,3.446763754,-0.151044294,-0.559750259,-0.812580585,-0.060281690,
214,698,14.767540932,-9.598124504,2.711417437,-0.165365502,-0.563067973,-0.808314443,-0.047871783,
215,700,14.297638893,-9.554602623,4.033383846,-0.141337723,-0.577110648,-0.800425053,-0.079645902,
216,702,14.188685417,-9.496889114,3.993640184,-0.139902607,-0.574965000,-0.801569164,-0.085941397,
217,704,15.140292168,-8.408573151,2.167370796,-0.155652449,-0.564675331,-0.810009897,-0.029241897,
218,706,15.542725563,-7.614439487,0.998985529,-0.169048116,-0.565198839,-0.807480276,0.002526248,
219,708,15.767525673,-6.952997208,0.693625331,-0.170535311,-0.579282224,-0.796929419,0.017622769,
220,712,15.900551796,-6.078005791,0.208877027,-0.171359971,-0.585244954,-0.792120099,0.026955223,
221,713,15.853776932,-6.137529373,-0.396378815,-0.188743189,-0.585603774,-0.787656784,0.033117741,
222,715,14.908441544,-7.386501789,2.408949375,-0.131343395,-0.559342921,-0.815771282,-0.066772297,
223,716,14.572291374,-7.751786709,2.813111305,-0.130192518,-0.562606931,-0.811500371,-0.089709662,
224,718,14.796897888,-7.433294296,1.500683904,-0.147495285,-0.539893866,-0.825587690,-0.072256319,
225,719,14.919054031,-7.030604362,1.637211323,-0.136772588,-0.540206254,-0.827636659,-0.067415245,
226,721,14.904272079,-6.834688187,1.678505898,-0.141937435,-0.560377121,-0.812865198,-0.071682058,
227,722,14.813066483,-7.065924168,1.339527845,-0.156058252,-0.560871363,-0.809540689,-0.075949274,
228,726,12.409152031,-10.512129784,2.050170183,-0.176934540,-0.494649947,-0.822772861,-0.217062235,
229,727,10.748413086,-11.644049644,3.754115105,-0.154040694,-0.486799449,-0.805705845,-0.300320119,
230,730,4.992079735,-13.154964447,7.505279064,-0.064313918,-0.431754172,-0.744061649,-0.505847752,
231,734,-2.062996864,-12.173048019,9.216059685,0.070590049,-0.341197878,-0.642116189,-0.682894349,
232,736,-3.043011427,-11.585266113,9.046475410,0.085389055,-0.332814425,-0.618119180,-0.707056940,
233,741,-2.118985653,-10.600326538,8.941361427,0.060949884,-0.381153494,-0.608907163,-0.693034351,
234,744,-0.534558773,-9.989295959,9.085474014,0.066542596,-0.422187120,-0.628026366,-0.650361836,
235,749,1.315195918,-8.844636917,8.728762627,0.079554982,-0.466114253,-0.652175963,-0.592564225,
236,753,0.032515332,-8.722272873,7.534224510,0.057544302,-0.441682339,-0.628008068,-0.638177097,
237,756,0.634103596,-8.685790062,6.420334339,0.029916959,-0.436387628,-0.651598155,-0.619798362,
238,761,0.746947706,-7.824360371,5.697885513,0.054969005,-0.440947294,-0.654503405,-0.611742496,
239,764,0.562442005,-7.453855515,4.880211353,0.066301554,-0.421197504,-0.658250332,-0.620454073,
240,767,0.268102825,-6.948946476,4.214542389,0.096041456,-0.394182414,-0.657628417,-0.634808600,
241,770,0.046278741,-6.708267689,3.672601938,0.074027516,-0.399344236,-0.643686295,-0.648670614,
242,775,0.605970979,-6.282317638,2.916202068,0.050543655,-0.426897585,-0.656910658,-0.619461656,
243,778,0.746367216,-5.958993912,2.800763369,0.064249292,-0.433934361,-0.658245683,-0.611838996,
244,782,0.652806520,-5.590182781,2.381794691,0.072496600,-0.432413846,-0.651593924,-0.619071186,
245,785,-0.628578961,-5.322834492,1.647008777,0.023224125,-0.413183838,-0.572577775,-0.707782030,
246,790,-3.604620934,-3.682750940,0.027715852,0.133021384,-0.185340881,-0.318445355,-0.920112967,
247,792,-4.268956661,-2.441021681,-1.296838641,0.201333731,-0.062293068,-0.148874372,-0.966168880,
248,797,-3.412050724,-0.895355284,-4.615328789,0.318172574,0.152945817,0.098847933,-0.930411041,
249,801,-4.357119083,-1.244613051,-4.247433186,0.299141258,0.074924201,-0.004215858,-0.951286316,
250,804,-3.459691048,-1.303321362,-5.699437141,0.345184654,0.170898259,0.049413610,-0.921554387,
251,806,-3.904147387,-1.439578772,-5.743271351,0.370576769,0.139054015,0.027071392,-0.917969406,
252,810,-4.796037674,-1.003147006,-5.635949612,0.310948044,0.077656575,-0.045780174,-0.946176291,
253,815,-5.472260475,-0.683770478,-5.875413418,0.258737922,0.040437773,-0.109871231,-0.958860934,
254,817,-5.266579628,-1.217670083,-6.452942848,0.269710153,0.060736012,-0.147387862,-0.949688911,
255,819,-5.374652386,-0.790751696,-6.850156784,0.255591094,0.050420672,-0.129081964,-0.956835330,
256,821,-4.795870304,-0.566955745,-7.558550835,0.282492250,0.083759405,-0.082608655,-0.952063203,
257,824,-5.666287899,-1.615441799,-7.384886742,0.312516302,0.026649259,-0.178274438,-0.932687640,541
