kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
64,203,16.090993881,-5.062672615,1.889764428,0.114785502,0.539272333,0.827799273,0.103720798,
65,207,16.165657043,-4.134531021,1.226109385,0.120398030,0.543117932,0.825436985,0.095817587,
66,211,16.023756027,-4.116385460,1.316079259,0.122698418,0.558769279,0.811316591,0.120363533,
67,215,15.019496918,-6.614327908,1.750424027,0.153621381,0.517440534,0.814615250,0.212268133,
68,216,14.787722588,-6.948962212,2.126062393,0.150392914,0.514447169,0.811926373,0.231304229,
69,217,14.536877632,-7.209252834,2.679588318,0.142564998,0.516884346,0.805636658,0.251903492,
70,221,8.618726730,-11.642848969,6.982199669,0.078310870,0.402307983,0.761152237,0.502655913,
71,224,3.346094131,-13.076650620,8.076889992,0.047541869,0.322915320,0.688353128,0.647792743,
72,227,-2.553256750,-13.076929092,7.540564537,0.015624615,0.216047172,0.592430479,0.775954650,
73,230,-2.050852537,-12.189326286,7.727147579,0.013745401,0.250755600,0.586471276,0.770054631,
74,236,0.204738691,-10.099467278,8.646835327,-0.026756826,0.346173349,0.602933510,0.718275203,
75,239,0.705472410,-9.356371880,8.660597801,-0.039156548,0.368662756,0.605213712,0.704464974,
76,243,0.583795369,-8.517371178,8.584234238,-0.058817175,0.382156528,0.593371270,0.705979790,
77,246,0.549030960,-8.210762978,8.087871552,-0.060752299,0.375346753,0.597915674,0.705635048,
78,250,1.230695963,-8.012609482,7.108545303,-0.029583885,0.387281693,0.613173112,0.687863662,
79,252,1.127830386,-7.789348602,6.914416313,-0.039737879,0.379801762,0.615087161,0.689811066,
80,255,0.462965578,-7.405693054,6.830430508,-0.063266071,0.354359522,0.606283167,0.709117377,
81,257,-0.307942361,-7.152249813,6.698454380,-0.081117568,0.327886559,0.591796345,0.731906709,
82,260,-0.113829724,-7.764158726,5.093966007,0.008012540,0.309746909,0.603985239,0.734298634,
83,261,0.152471215,-7.683545113,4.962499619,0.008630000,0.317657813,0.611632311,0.724517049,
84,263,0.220808953,-6.918050766,5.535170555,-0.028878126,0.356438411,0.591211454,0.722901605,
85,266,0.407612711,-5.885941029,5.881839275,-0.087003782,0.376184386,0.589892541,0.709184349,
86,268,0.546618938,-5.325012684,5.854734898,-0.102821578,0.401305432,0.578753387,0.702443016,
87,270,0.552530229,-4.937577724,5.601724148,-0.109726027,0.414177425,0.569209454,0.701724915,
88,273,0.293985873,-5.187137127,4.471488953,-0.072313676,0.374964787,0.578408204,0.720844012,
89,277,0.091786601,-4.540068626,4.249946117,-0.099804945,0.391800643,0.549487234,0.731160044,
90,279,0.146958515,-4.371853828,3.896832228,-0.099129526,0.384661793,0.555651209,0.730383719,
91,283,0.430322438,-4.166720390,3.168193817,-0.091176148,0.380120361,0.576031379,0.717901993,
92,286,0.468796790,-3.818226337,2.993004322,-0.092530284,0.405160525,0.560367910,0.716429271,
93,291,0.561602294,-3.236096859,1.907586813,-0.055350113,0.417066232,0.558826591,0.714636246,
94,294,0.722572625,-2.953296900,1.614527822,-0.057043268,0.427895397,0.567418695,0.701204406,
95,298,0.360934883,-2.733414650,0.981844604,-0.011845503,0.404155766,0.515689844,0.755368642,
96,300,-0.269166082,-2.524033546,0.910487652,-0.036377383,0.354794690,0.429447675,0.829681932,
97,303,-0.893947840,-2.153136969,0.526233494,-0.078626459,0.243394901,0.332272076,0.907839231,
98,306,-1.794949055,-1.210201383,-0.602775574,-0.120086248,-0.012862858,0.059753896,0.990880069,
99,310,-1.719170690,-0.344070941,-1.850766778,-0.153435782,-0.157557747,-0.123454262,0.967673531,0;1
100,312,-1.674591303,-0.371578276,-2.271027088,-0.197065652,-0.166025186,-0.099204659,0.961123926,2;3;4
